,中文,英文,日文
Title,馬壽華《紅梅》圖,Ma Shou-hua’s Red Plum,馬寿華「紅梅」図
Content,"馬壽華出身書香世家，自幼深受傳統文化薰習，秉持家訓，師法古人。在於建立事業外，也能兼善書畫。牆上是他所畫的紅梅、清雅莊嚴，有著靜潔、甜美的氣韻。隨著落款中「天地心從數點見、河山春借一枝回」的語意，一起體會他當時創作的美麗心境。

畫中隱約地訴說 : 眼下明麗的春色，隨著春風駕臨人間。紅白相間的梅花，早已在嚴寒的凌冬悄悄地佇立山頭。真是美好的意境呀!畫裡的氣質一如馬壽華他本人，愛乾淨的習慣，常給人『安靜』、『清雅』的好印象。畫中紅、白相間的梅花，也自然流露一股淺淺的清香。
","Born to an intellectual family, since childhood, Ma Shou-hua was deeply cultivated in traditional culture. On the wall is his red plum, simple, pure, yet sweetening. As said in his inscription “The universe can be perceived from a few petals; a single twig redeems spring borrowed by heaven and earth,” let’s imagine how he created this picture.","馬寿華は文人の家柄に生まれ、幼い頃より伝統文化に親しみ、家訓を守り、いにしえの人々を手本としてきました。彼は法律家として知られただけでなく、書画にも通じました。これは馬寿華が描いた紅梅であり、雅で荘厳な雰囲気と、清らかで甘美な趣を持っています。絵の中に書かれている言葉の意味から、彼が創作を行っていた際の美しい心境が理解できます。

この絵には、「美しき春の色は春風に乗ってこの世界にやってくる。紅白が互い違いになっている梅の花は、真冬の厳しい寒さの山頂にひっそりと立っている。本当に素晴らしい世界である。」というメッセージが込められています。

  そして、その絵がかもし出す雰囲気は馬寿華本人そのものであり、清らかなものを愛する気持ちは、いつでも人に物静かで上品な印象を与えます。絵の中の紅白の梅の花も、淡くすがすがしい香りを漂わせています。"
Image01,"00:00:00,00",,
Image02,"00:00:11,10",,
Image03,"00:00:18,00",,
Image04,"00:00:23,40",,
Image05,"00:00:35,70",,
Image06,"00:00:43,10",,
Image07,"00:00:53,30",,
Image08,"00:01:03,30",,
