UI Name,中文,英文,日文
IntoGuidance,進入導覽,Into Guidance,進入導覽日文
CheckIn,到此一遊,Check In,到此一遊日文
QrCode,QR Code,QR Code,QR Code
Traffic,交通指引,Traffic,交通指引日文
Ok,確定,OK,確定日文
Cancel,取消,Cancel,取消日文
Home,回首頁,Home,回首頁日文
Message_EmptyExhibitNumber,請輸入展品編號,Please input exhibit number,請輸入展品編號日文
Message_WrongExhibitNumber,輸入的展品編號不正確,Exhibit number is not correct,輸入的展品編號不正確日文
Chose_Picture,從相簿挑選或拍攝照片,Take a photo from photo library or camera,從相簿挑選或拍攝照片日文
Chose_Picture_Title,選擇照片,Chose a photo,選擇照片日文
Chose_Frame,選擇相框,Select Style,選擇相框日文
Message_SaveToCameraRollFail,圖片無法儲存至手機圖庫,Image cannot be saved.,圖片無法儲存至手機圖庫日文
Message_SaveToCameraRollSuccess,圖片已儲存到圖庫裡，是否要分享？,mage saved! Share to facebook?,圖片已儲存到圖庫裡，是否要分享？日文
Traffic_Info_Location_Title,館　　　址,館　　址,館　　址
Traffic_Info_Location_Content,台北市陽明山陽明路2段15號,台北市陽明山陽明路2段15號,台北市陽明山陽明路2段15號
Traffic_Info_Tel_Title,電　　　話,Telephone,電　　話
Traffic_Info_Tel_Content,(02)2861-0565,'+886-2-2861-0565,'+886-2-2861-0565
Traffic_Info_Title,交通指南,交通指南,交通指南
Traffic_Info_Content,"(一)捷運－淡水線【劍潭站】１號出口：
1.沿中山北路往士林方向步行約6分鐘至【銘傳大學】轉乘公車260全程車至【中山樓（正門）】下車。
2.轉乘公車紅5至【教師研習中心站】下車後步行約5到10分鐘至中山樓正門。

(二)例假日可搭乘假日休閒公車109、111至【教師研習中心站】下車。","(一)捷運－淡水線【劍潭站】１號出口：
1.沿中山北路往士林方向步行約6分鐘至【銘傳大學】轉乘公車260全程車至【中山樓（正門）】下車。
2.轉乘公車紅5至【教師研習中心站】下車後步行約5到10分鐘至中山樓正門。

(二)例假日可搭乘假日休閒公車109、111至【教師研習中心站】下車。","(一)捷運－淡水線【劍潭站】１號出口：
1.沿中山北路往士林方向步行約6分鐘至【銘傳大學】轉乘公車260全程車至【中山樓（正門）】下車。
2.轉乘公車紅5至【教師研習中心站】下車後步行約5到10分鐘至中山樓正門。

(二)例假日可搭乘假日休閒公車109、111至【教師研習中心站】下車。"
Traffic_Info_Open_Title,開放時間,開放時間,開放時間
Traffic_Info_Open_Content,"陽明山中山樓現為市定古蹟，為保管維護場地設施及人力限制，暫不予開放自由參觀。固定開放4個時段（08:30、10:00、13:30、15:00），並提供 1 小時之導覽服務。

(一) 週一至週日，每日固定四場導覽。（8:30；10:00；13:30；15:00）

(二) 休館日：
1、機電保養日、場地租借、國定假日配合本館公告休館日停止開放參觀導覽服務。（將另行公告於本所網站）
2、如遇颱風、地震等天災宣布停止上班時，亦停止開放參觀導覽服務。","陽明山中山樓現為市定古蹟，為保管維護場地設施及人力限制，暫不予開放自由參觀。固定開放4個時段（08:30、10:00、13:30、15:00），並提供 1 小時之導覽服務。

(一) 週一至週日，每日固定四場導覽。（8:30；10:00；13:30；15:00）

(二) 休館日：
1、機電保養日、場地租借、國定假日配合本館公告休館日停止開放參觀導覽服務。（將另行公告於本所網站）
2、如遇颱風、地震等天災宣布停止上班時，亦停止開放參觀導覽服務。","陽明山中山樓現為市定古蹟，為保管維護場地設施及人力限制，暫不予開放自由參觀。固定開放4個時段（08:30、10:00、13:30、15:00），並提供 1 小時之導覽服務。

(一) 週一至週日，每日固定四場導覽。（8:30；10:00；13:30；15:00）

(二) 休館日：
1、機電保養日、場地租借、國定假日配合本館公告休館日停止開放參觀導覽服務。（將另行公告於本所網站）
2、如遇颱風、地震等天災宣布停止上班時，亦停止開放參觀導覽服務。"
Test,Test,"Test,test ""askfjsakfsa"" asfsaf",aaa
